district_lgd_code,district_name
603,Nicobars
632,North And Middle Andaman
602,South Andamans
745,Alluri Sitharama Raju
744,Anakapalli
502,Ananthapuramu
753,Annamayya
750,Bapatla
503,Chittoor
747,Dr. B.R. Ambedkar Konaseema
505,East Godavari
748,Eluru
506,Guntur
746,Kakinada
510,Krishna
511,Kurnool
755,Nandyal
749,Ntr
751,Palnadu
743,Parvathipuram Manyam
517,Prakasam
519,Srikakulam
515,Sri Potti Sriramulu Nellore
754,Sri Sathya Sai
752,Tirupati
520,Visakhapatnam
521,Vizianagaram
523,West Godavari
504,Y.S.R.
628,Anjaw
229,Changlang
230,Dibang Valley
231,East Kameng
232,East Siang
718,Kamle
677,Kra Daadi
233,Kurung Kumey
724,Leparada
234,Lohit
666,Longding
235,Lower Dibang Valley
719,Lower Siang
236,Lower Subansiri
678,Namsai
723,Pakke Kessang
237,Papum Pare
725,Shi Yomi
679,Siang
238,Tawang
239,Tirap
240,Upper Siang
241,Upper Subansiri
242,West Kameng
243,West Siang
739,Bajali
616,Baksa
280,Barpeta
705,Biswanath
281,Bongaigaon
282,Cachar
708,Charaideo
612,Chirang
283,Darrang
284,Dhemaji
285,Dhubri
286,Dibrugarh
299,Dima Hasao
287,Goalpara
288,Golaghat
289,Hailakandi
709,Hojai
290,Jorhat
291,Kamrup
618,Kamrup Metro
292,Karbi Anglong
293,Karimganj
294,Kokrajhar
295,Lakhimpur
706,Majuli
296,Marigaon
297,Nagaon
298,Nalbari
300,Sivasagar
301,Sonitpur
707,South Salmara Mancachar
756,Tamulpur
302,Tinsukia
617,Udalguri
710,West Karbi Anglong
188,Araria
611,Arwal
189,Aurangabad
190,Banka
191,Begusarai
192,Bhagalpur
193,Bhojpur
194,Buxar
195,Darbhanga
196,Gaya
197,Gopalganj
198,Jamui
199,Jehanabad
200,Kaimur (Bhabua)
201,Katihar
202,Khagaria
203,Kishanganj
204,Lakhisarai
205,Madhepura
206,Madhubani
207,Munger
208,Muzaffarpur
209,Nalanda
210,Nawada
211,Pashchim Champaran
212,Patna
213,Purbi Champaran
214,Purnia
215,Rohtas
216,Saharsa
217,Samastipur
218,Saran
219,Sheikhpura
220,Sheohar
221,Sitamarhi
222,Siwan
223,Supaul
224,Vaishali
44,Chandigarh
646,Balod
644,Balodabazar-Bhatapara
649,Balrampur Ramanujganj
374,Bastar
650,Bemetara
636,Bijapur
375,Bilaspur
376,Dakshin Bastar Dantewada
377,Dhamtari
378,Durg
645,Gariyaband
734,Gaurela Pendra Marwahi
379,Janjgir-Champa
380,Jashpur
382,Kabeerdham
759,Khairagarh Chhuikhadan Gandai
643,Kondagaon
383,Korba
384,Korea
385,Mahasamund
760,Manendragarh Chirmiri Bharatpur Mcb
761,Mohla Manpur Ambagarh Chouki
647,Mungeli
328,Garhwa
637,Narayanpur
386,Raigarh
387,Raipur
388,Rajnandgaon
762,Sakti
763,Sarangarh Bilaigarh
642,Sukma
648,Surajpur
389,Surguja
381,Uttar Bastar Kanker
77,Central
78,East
79,New Delhi
80,North
81,North East
82,North West
671,Shahdara
83,South
670,South East
84,South West
85,West
551,North Goa
552,South Goa
438,Ahmedabad
439,Amreli
440,Anand
672,Arvalli
441,Banas Kantha
442,Bharuch
443,Bhavnagar
676,Botad
668,Chhotaudepur
445,Dahod
444,Dangs
674,Devbhumi Dwarka
446,Gandhinagar
675,Gir Somnath
447,Jamnagar
448,Junagadh
449,Kachchh
450,Kheda
451,Mahesana
669,Mahisagar
673,Morbi
452,Narmada
453,Navsari
454,Panch Mahals
455,Patan
456,Porbandar
457,Rajkot
458,Sabar Kantha
459,Surat
460,Surendranagar
641,Tapi
461,Vadodara
462,Valsad
58,Ambala
59,Bhiwani
701,Charki Dadri
60,Faridabad
61,Fatehabad
62,Gurugram
63,Hisar
64,Jhajjar
65,Jind
66,Kaithal
67,Karnal
68,Kurukshetra
69,Mahendragarh
604,Nuh
619,Palwal
70,Panchkula
71,Panipat
72,Rewari
73,Rohtak
74,Sirsa
75,Sonipat
76,Yamunanagar
15,Bilaspur
16,Chamba
17,Hamirpur
18,Kangra
19,Kinnaur
20,Kullu
21,Lahul And Spiti
22,Mandi
23,Shimla
24,Sirmaur
25,Solan
26,Una
1,Anantnag
623,Bandipora
3,Baramulla
2,Budgam
4,Doda
626,Ganderbal
5,Jammu
7,Kathua
620,Kishtwar
622,Kulgam
8,Kupwara
10,Poonch
11,Pulwama
12,Rajouri
621,Ramban
627,Reasi
624,Samba
625,Shopian
13,Srinagar
14,Udhampur
322,Bokaro
323,Chatra
324,Deoghar
325,Dhanbad
326,Dumka
327,East Singhbum
