"year","state_name","state_code","sector","enterprise_type","activity","no_enterprises","msme_micro","msme_small","msme_medium","msme_total","non_msme","female_employees","male_employees","total_employees","formal_ann_salary","informal_ann_salary","all_ann_salary","less_than_4hours","hours_4to7","more_than_8hours","wh_not_reported","gross_value_added","per_employee_gva","per_enterprise_gva","within_hh","fixed","temporary_kiosk","no_fixed","mobile","total_outsidehh","ent_notreported","avg_gva_lessthan4hr","avg_gv_4to8hr","avg_gva_above8hr","avg_gva_all","proprietary_male","proprietary_female","proprietary_same_hh","proprietary_diff_hh","proprietary_shg","proprietary_trust","proprietary_others","proprietary_nr","perennial","seasonal","casual","operation_nr","own_management","usual_discharge","road_river_nala","not_generated_lw","local_civicauthority","authorised_ground","own_system","road_side","noprovision_thers","not_generated_sw","no_assistance","financial_loan","subsidy","machinery_equipment","skill_devlopment","marketing","raw_material","other_assistance","no_problems","power_cuts","shortage_raw_materials","fall_demand","high_cost_credit","non_recovery_financial_dues","non_available_labours","non_available_skilled_labour","labour_disputes","problems_others","not_registered","establishment_act","local_body","sales_tax_act","provident_fund_act","esc_act","stock_exchange","other_industry_act","donation_grants","major_receipt_others","not_any","data_collected","data_not_collected","no_accounts","st","sc","obc","social_groups_other","unknown"
"2016","Jammu & Kashmir","01","Rural","Own Account Enterprises","Manufacturing","133381","133381","0","0","133381","0","45678","106503","152182","0","73566","73566","","","","","1175","77210.18","88093.508","80350","124285","67139","0","108613","100260","0","44104","58808","93862","76535","73","25","1","1","0","0","0","0","97","3","0","0","0","0","22","78","0","0","4","44","44","8","100","0","0","0","0","0","0","0","52","11","5","12","3","24","0","1","0","5","77","4","1","0","0","0","0","20","0","0","100","0","0","100","9","7","14","70","0"
"2016","Jammu & Kashmir","01","Rural","Own Account Enterprises","Trade","89768","89768","0","0","89768","0","3023","93440","96495","0","27688","27688","1.0","15.0","85.0","0.0","922","95548.992","102709.2","90299","107378","99425","0","63753","91923","0","35094","73106","94179","90724","98","2","0","0","0","0","0","0","100","1","0","0","0","0","13","87","0","1","3","72","18","7","100","0","0","0","0","0","0","0","50","14","1","6","5","34","0","0","0","5","56","31","12","1","0","0","0","14","0","0","100","0","6","94","6","7","9","78","0"
"2016","Jammu & Kashmir","01","Rural","Own Account Enterprises","Services","79974","79925","49","0","79974","0","3633","76649","80282","0","67200","67200","12.0","24.0","64.0","0.0","946","117834.63","118288.45","101970","114900","136643","136866","151350","123069","0","48981","94984","132990","113690","95","5","0","1","0","0","0","0","99","1","0","0","0","3","49","48","0","0","3","57","17","22","100","0","0","0","0","0","0","0","75","7","0","5","2","6","1","1","0","8","49","8","11","0","0","0","0","36","0","0","100","0","1","99","7","15","14","64","0"
"2016","Jammu & Kashmir","01","Rural","Own Account Enterprises","Total","303123","303073","49","0","303123","0","52334","276593","328959","0","58424","58424","4.0","32.0","64.0","0.0","3044","92534.328","100421.28","85543","112147","94033","136866","139165","119415","0","47743","67322","103573","89934","86","13","1","1","0","0","0","0","98","2","0","0","0","1","26","73","0","0","4","56","29","11","100","0","0","0","0","0","0","0","58","11","2","9","3","22","1","1","0","6","63","13","7","0","0","0","0","22","0","0","100","0","2","98","7","9","13","71","0"
"2016","Jammu & Kashmir","01","Rural","Establishment","Manufacturing","18352","18352","0","0","18352","0","4006","42284","46290","36389","63798","63647","","","","","478","103262.05","260462.08","208707","304714","277800","132230","137990","231333","0","67230","75849","105590","102818","97","3","1","0","0","0","0","0","100","0","0","0","0","1","32","67","0","0","7","32","59","3","99","0","0","1","0","0","0","1","39","37","2","6","1","44","1","2","0","4","47","31","4","1","0","0","0","42","0","0","100","0","7","93","5","5","16","75","0"
"2016","Jammu & Kashmir","01","Rural","Establishment","Trade","6332","6232","100","0","6332","0","99","14543","14832","82109","51430","51547","1.0","11.0","89.0","0.0","174","117313.91","274794.69","156641","285122","0","0","0","0","0","19637","77051","121776","116164","97","1","2","0","0","0","0","0","98","2","0","0","0","0","18","82","2","0","3","89","4","2","100","0","0","0","0","0","0","0","57","21","0","3","5","17","3","5","0","8","43","35","15","4","0","0","0","22","0","0","100","0","12","88","5","7","6","81","2"
"2016","Jammu & Kashmir","01","Rural","Establishment","Services","15665","14848","817","0","15665","0","13776","40955","54731","75705","54747","56296","0.0","41.0","59.0","0.0","523","95558.273","333865.31","227507","442400","0","377183","254687","244346","0","44963","74504","108760","94611","96","3","0","0","0","1","0","0","100","0","0","0","2","0","57","40","2","0","2","52","30","14","100","0","0","0","0","0","0","0","50","10","0","3","6","32","1","4","0","6","14","13","6","0","1","0","0","76","0","1","99","0","17","83","7","6","10","77","0"
"2016","Jammu & Kashmir","01","Rural","Establishment","Total","40348","39431","917","0","40348","0","17881","97782","115853","73810","57861","58516","0.0","24.0","76.0","0.0","1175","101421.63","291216.41","211662","339735","277800","340210","252332","243326","0","46526","74846","109205","100652","97","2","1","0","0","0","0","0","99","1","0","0","1","0","40","59","1","0","4","49","39","7","99","0","0","0","0","0","0","0","46","24","1","4","4","35","1","3","0","5","34","25","6","1","0","0","0","52","0","0","100","0","12","88","5","6","12","77","0"
"2016","Jammu & Kashmir","01","Rural","All","Manufacturing","151732","151732","0","0","151732","0","49684","148788","198472","36389","63864","63714","","","","","1653","83286.305","108942.09","89326","182305","74923","132230","109345","107096","0","46924","59703","97973","82642","76","23","1","1","0","0","0","0","98","2","0","0","0","0","23","77","0","0","5","42","46","7","100","0","0","0","0","0","0","0","51","14","4","12","2","26","1","1","0","5","73","7","1","0","0","0","0","22","0","0","100","0","1","99","8","7","14","70","0"
"2016","Jammu & Kashmir","01","Rural","All","Trade","96100","96000","100","0","96100","0","3122","107983","111326","82109","51149","51266","1.0","14.0","85.0","0.0","1097","98539.422","114151.92","91691","121978","99425","0","63753","91923","0","32649","73491","97868","93999","98","2","0","0","0","0","0","0","99","1","0","0","0","0","13","87","1","1","3","73","17","6","100","0","0","0","0","0","0","0","50","14","1","6","5","33","0","1","0","5","55","31","12","1","0","0","0","15","0","0","100","0","6","94","6","7","9","78","0"
"2016","Jammu & Kashmir","01","Rural","All","Services","95639","94772","866","0","95639","0","17409","117605","135013","75705","54749","56298","8.0","30.0","62.0","0.0","1469","108804.34","153598.42","114926","194068","136643","186723","178705","131422","0","48902","84082","123796","106078","95","4","0","1","0","0","0","0","99","1","0","0","1","2","50","47","0","0","3","57","19","21","100","0","0","0","0","0","0","0","71","7","0","4","3","10","1","1","0","8","44","9","10","0","0","0","0","43","0","0","100","0","4","97","7","14","14","66","0"
"2016","Jammu & Kashmir","01","Rural","All","Total","343471","342505","966","0","343471","0","70216","374375","444812","73810","57863","58515","3.0","30.0","67.0","0.0","4219","94849.063","122834.24","94292","151506","97196","184784","163602","127385","0","47694","68869","105196","92683","87","12","1","1","0","0","0","0","99","2","0","0","0","1","28","71","0","0","4","55","30","11","100","0","0","0","0","0","0","0","56","12","2","8","3","23","1","1","0","6","60","14","7","0","0","0","0","26","0","0","100","0","3","97","7","9","13","71","0"
"2016","Jammu & Kashmir","01","Urban","Own Account Enterprises","Manufacturing","61037","61037","0","0","61037","0","30139","41886","72025","0","63695","63695","","","","","532","73863.242","87160.25","55663","168265","109747","90600","91270","136337","0","27949","51122","103842","72624","55","44","1","0","0","0","0","0","100","0","0","0","0","2","4","93","47","1","2","34","9","7","100","0","0","0","0","0","0","0","53","6","3","15","2","25","0","1","0","16","75","12","16","0","0","0","0","7","0","0","100","0","1","99","8","4","5","81","3"
"2016","Jammu & Kashmir","01","Urban","Own Account Enterprises","Trade","150917","150885","32","0","150917","0","2258","163733","165992","0","56721","56721","0.0","7.0","93.0","0.0","2970","178924.28","196796.92","160476","207091","97763","164063","0","133961","0","0","110491","180011","175140","97","1","1","0","0","0","0","0","100","1","0","0","0","1","2","97","70","0","0","23","2","5","99","0","0","0","0","0","0","1","72","7","0","7","3","13","0","0","0","4","17","70","68","4","0","0","0","7","0","1","99","0","14","86","3","6","3","87","1"
"2016","Jammu & Kashmir","01","Urban","Own Account Enterprises","Services","54932","54911","22","0","54932","0","5028","56634","61661","0","63390","63390","6.0","28.0","66.0","0.0","751","121794.98","136714.48","117664","149731","150174","128664","121026","122362","0","64848","122009","122411","118836","92","7","1","1","0","0","0","0","100","0","0","0","2","10","31","57","39","1","1","41","2","15","99","1","0","0","0","0","0","0","67","11","0","7","3","3","0","0","0","13","40","26","27","0","0","0","0","33","0","0","100","0","5","95","11","14","6","68","1"
"2016","Jammu & Kashmir","01","Urban","Own Account Enterprises","Total","266886","266833","53","0","266886","0","37425","262253","299678","0","58541","58541","4.0","20.0","76.0","0.0","4254","141952.36","159393.91","79263","194155","110156","134031","116106","129896","0","39739","82908","158704","138964","87","12","1","0","0","0","0","0","100","0","0","0","0","3","9","88","58","1","1","29","4","7","100","0","0","0","0","0","0","0","67","8","1","9","3","14","0","0","0","9","35","48","48","2","0","0","0","12","0","0","100","0","9","91","6","7","4","82","1"
